id,created_at,original_text
ID000291,2020-08-20,londontitan liamthorpecho sir kier keirstarmer vaccine covid19 claiming
ID000292,2020-08-20,good morning friends hope safe morning bad night weather
ID000293,2020-08-20,fastcompany god covid19 touch science proves wind ave satanas ave mihi
ID000294,2020-08-20,hoax hoax dr vernon coleman mb chb dsc frsa
ID000295,2020-08-20,profound grief inform covid warrior 58 years male dsi ro dist succumbe
ID000296,2020-08-20,charity sector faces 60000 redundancies covid19 warn economists civil society enables solidarity
ID000297,2020-08-20,study reveals covid19 smell loss differs common cold
ID000298,2020-08-20,slept covid19 big time struggling sick loved hospitals filling da
ID000299,2020-08-20,australia secured deal drugmaker astrazeneca supply potential covid19 vaccine entire population free
ID000300,2020-08-20,covid19 shuttering college campuses fall college kids
ID000301,2020-08-20,donald trumps ignorance incompetence danger country covid19 trumps biggest test failed
ID000302,2020-08-20,responsible citizen shaking hands hugs greeting maintain safe dis
ID000303,2020-08-20,scott morrison forgot mention astrazenecas vast corporate rap sheet government exempted
ID000304,2020-08-20,
ID000305,2020-08-20,crime humanity fda approved hcq 1955 50 studies effective covid19 big pharma nih officials wal
ID000306,2020-08-20,pandemic primer podcast transitzonepod series sarscov2
ID000307,2020-08-20,super fund crucial long term impact coronavirus patients
ID000308,2020-08-20,worried sunday concert heard korean celebrities entertainment staff tested positive
ID000309,2020-08-20,learn 7 ways women conflictaffected countries hit hardest covid19 teams ad
ID000310,2020-08-20,feel difference board equipped turbocharged suv touch surely love
ID000311,2020-08-20,datastrategy123 amrefkenya citizentvkenya whokenya kemrikenya mohkenya minofhealthug covid19za
ID000312,2020-08-20,icu facility set covid19 patients shah rukh khans office hinduja foundation amp hospital man
ID000313,2020-08-20,lesstonehouse timsmithmp tim smith blocked dangerous man public health pandemic management
ID000314,2020-08-20,4 pm august 20 department health reports 4339 additional cases covid19 total number cas
ID000315,2020-08-20,freshmen 15 covid 19 eating feelings days
ID000316,2020-08-20,covid19 case reported vial camp chios socialists democrats european parl
ID000317,2020-08-20,additional district government counsel adgc sirajuddin alvi meerut al
ID000318,2020-08-20,2 person emailed republican assemblyman byrne4ny passed condolences reques
ID000319,2020-08-20,globallywe facing covid19 pandemic pandemic sectors segemnet socie
ID000320,2020-08-20,democracynow totally surprised hope manages mustard stain time yo
ID000321,2020-08-20,naveen pachauri police subinspector ghaziabad wanted rs 70 lakh embezzlement case link road police statio
ID000322,2020-08-20,donald trump losing support older voters horrified nowexploding spread covid19
ID000323,2020-08-20,fascinating chat harare man survived covid19he avoided hospitals saved life plant
ID000324,2020-08-20,depowa distributes covid19 palliative 300 widows fallen heroes physically challenged persons abuja
ID000325,2020-08-20,69k cases recorded day days surpass 100kday
ID000326,2020-08-20,blasio wifes 14 person 2 staff essential nyc recovering covid19
ID000327,2020-08-20,people assam jawans donate plasma fight covid19 ndtv adgpi himantabiswa
ID000328,2020-08-20,covid19 live updates germany records 1707 coronavirus cases
ID000329,2020-08-20,thehill 5694831 infected 176168 dead 38857 cases today ppe nursi
ID000330,2020-08-20,struggling pay bills impact steps advice
ID000331,2020-08-20,jee weak amp floods jeopardizing lives covid 19 steep rise expected peak sept transport
ID000332,2020-08-20,india reported 64531 cases covid 19 hours highest day spike
ID000333,2020-08-20,covid19 active cases switzerland 2957 3264 307in 24hr 19th august 2020
ID000334,2020-08-20,researchers companies facebook amazon netflix uniquely pla
ID000335,2020-08-20,sb19 ltikakogt mv video special tribute liners coun
ID000336,2020-08-20,longhaul covid lot common mecfs dysautonomia amp illnesses communities offering wis
ID000337,2020-08-20,alexmaccaroon beds occupied confirmed covid19 patients stats
ID000338,2020-08-20,psyscofield satvrnmoons staying manchester loc
ID000339,2020-08-20,healthcare idea janefeinmann
ID000340,2020-08-20,roofing industry portland maintaining volume covid19
ID000341,2020-08-20,time sign discuss experiences covid19 newports priorities build
ID000342,2020-08-20,app yale waze covid19 early warning risk based symptoms experienced ne
ID000343,2020-08-20,masvingo general hosiptal testing kits 16 student nurses tested positive looters sayi
ID000344,2020-08-20,unprecedented challenges covid19 pandemic faced nigeria brought rising
ID000345,2020-08-20,rahulgandhi travelling wayanad district day examination
ID000346,2020-08-20,sir lemme youby october mid november covid 19 slow exams happen unde
ID000347,2020-08-20,breaking dohs covid19 tally today 4339 cases 727 recoveries 88 deaths 61025
ID000348,2020-08-20,power people letak jawatan menteri langgar sop kuarantin covid19 sign petition change
ID000349,2020-08-20,covid19 video ad performance media consumption continued q2
ID000350,2020-08-20,average lending rates shilling foreign currency denominated credit edged june 2020
ID000351,2020-08-20,trending entertainment news today sidharth shukla helps fan father tested covid19 positive cbi sushant si
ID000352,2020-08-20,afp graphic countries highest death tolls respective death rates afpgraphics
ID000353,2020-08-20,adb approves 2 grant support armenias fight covid19
ID000354,2020-08-20,urge pm narendramodi hmoindia amp address lakhs aspirants demand
ID000355,2020-08-20,zwitterelfzana bmcb77437937 maxinecisneros billiehuman drjonesaa marionste sue91282690 bruceppdl cjsnowdon
