id,created_at,original_text,neg,neu,pos,compound,neg,neu,pos,compound
ID000175,2020-04-19,pastor died weeks advising congregants ignore social distancing measures attend church,0.404,0.596,0.0,-0.7269,0.404,0.596,0.0,-0.7269
ID000176,2020-04-19,brooklyn hospital centers chief operating officer describes extraordinary measures handle number,0.0,0.885,0.115,0.0772,0.0,0.885,0.115,0.0772
ID000177,2020-04-19,shocking news loving fans 40000 americans died doubt 20000,0.497,0.282,0.22,-0.5994,0.497,0.282,0.22,-0.5994
ID000178,2020-04-19,reminder swedish government didnt shut economy allowed greater personal freedom responsibi,0.0,0.573,0.427,0.7717,0.0,0.573,0.427,0.7717
ID000179,2020-04-19,husband told watching federal government deal watching ministry magic deal,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000180,2020-04-19,answers questions pandemic young women bio ywib online developed video modules,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000181,2020-04-19,laceshantelley gt1 people died car accidents today 19,0.496,0.504,0.0,-0.7096,0.496,0.504,0.0,-0.7096
ID000182,2020-04-19,trump month test truethere,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000183,2020-04-19,wednesday 422 4pm insights campaign trail watson senior fellow tomperez 83 welcomes andrewyang 96,0.0,0.828,0.172,0.4019,0.0,0.828,0.172,0.4019
ID000184,2020-04-19,india coronavirus people pay tests,0.259,0.741,0.0,-0.1027,0.259,0.741,0.0,-0.1027
ID000185,2020-04-19,boston homeless shelter 397 people tested 146 tested positive single,0.0,0.714,0.286,0.5574,0.0,0.714,0.286,0.5574
ID000186,2020-04-19,products materials supply paving construction services support countrys critical infrast,0.177,0.615,0.208,0.1027,0.177,0.615,0.208,0.1027
ID000187,2020-04-19,bringing bears learn coronavirus animals,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000188,2020-04-19,justintrudeau canadianpm earning 365000yr job hand resignation amp,0.193,0.526,0.281,0.25,0.193,0.526,0.281,0.25
ID000189,2020-04-19,pres xi amp chinese communist party ccp representing 14b oppressed chinese people fr,0.185,0.655,0.161,-0.1027,0.185,0.655,0.161,-0.1027
ID000190,2020-04-19,iambussie death people road people dieing work lagosia,0.358,0.642,0.0,-0.5994,0.358,0.642,0.0,-0.5994
ID000191,2020-04-19,19 nigeria politically rigged wtf 70 cases lagos wa oooo,0.441,0.559,0.0,-0.743,0.441,0.559,0.0,-0.743
ID000192,2020-04-19,lagos records 70 cases day,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000193,2020-04-19,12 cdns approx live canadas 4 western provinces 185 treated hospital,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000194,2020-04-19,jackposobiec 30000 americans died month 2017 seasonal flu outcry dont remember,0.543,0.457,0.0,-0.8591,0.543,0.457,0.0,-0.8591
ID000195,2020-04-19,york mayor blasio asks trump telling city drop dead,0.478,0.522,0.0,-0.7506,0.478,0.522,0.0,-0.7506
ID000196,2020-04-19,lancaster county continues report high percentage coronavirus deaths,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000197,2020-04-19,charliekirk11 asked ridiculous wait trump office,0.333,0.667,0.0,-0.3612,0.333,0.667,0.0,-0.3612
ID000198,2020-04-19,lived small community reported 4 cases 19what,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000199,2020-04-19,bioengineered lab setting simply natural selection response usatoday factchecker whet,0.0,0.783,0.217,0.3612,0.0,0.783,0.217,0.3612
ID000200,2020-04-19,19 update lagos heart beating fast,0.375,0.625,0.0,-0.4588,0.375,0.625,0.0,-0.4588
ID000201,2020-04-19,devastating report coronavirus deaths york initial coll,0.417,0.583,0.0,-0.6486,0.417,0.583,0.0,-0.6486
ID000202,2020-04-19,dicegreene read news sports star celebrity politician positive,0.0,0.66,0.34,0.5574,0.0,0.66,0.34,0.5574
