id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000099,2020-06-01,45yearold shopian patient dies jampk toll 29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000100,2020-06-01,nygovcuomo isnt fly protestors busines,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000101,2020-06-01,hard working riders stay late night earning difficult living services 70 imp,0.281,0.719,0.0,-0.4404,0.281,0.719,0.0,-0.4404,0.281,0.719,0.0,-0.4404,0.281,0.719,0.0,-0.4404
ID000102,2020-06-01,telanganacmo sir 19 advisory relaxation pregnant women 72 kindly advisory,0.0,0.548,0.452,0.765,0.0,0.548,0.452,0.765,0.0,0.548,0.452,0.765,0.0,0.548,0.452,0.765
ID000103,2020-06-01,unions slam telkoms treachery putting job cuts table battle,0.552,0.448,0.0,-0.7506,0.552,0.448,0.0,-0.7506,0.552,0.448,0.0,-0.7506,0.552,0.448,0.0,-0.7506
ID000104,2020-06-01,dr maria rosario vergeire spokesperson doh invites dr troy gepte discuss breakdown fresh,0.0,0.839,0.161,0.3182,0.0,0.839,0.161,0.3182,0.0,0.839,0.161,0.3182,0.0,0.839,0.161,0.3182
ID000105,2020-06-01,70most countries cases experiencing outbreaks war,0.438,0.562,0.0,-0.5994,0.438,0.562,0.0,-0.5994,0.438,0.562,0.0,-0.5994,0.438,0.562,0.0,-0.5994
ID000106,2020-06-01,official reports sink german govt global false alarm died died dani,0.545,0.455,0.0,-0.8625,0.545,0.455,0.0,-0.8625,0.545,0.455,0.0,-0.8625,0.545,0.455,0.0,-0.8625
ID000107,2020-06-01,indias seva shakti visible fight,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818
ID000108,2020-06-01,conrad hilton hotel spanish flu pandemic including making guests clean,0.195,0.602,0.203,0.0258,0.195,0.602,0.203,0.0258,0.195,0.602,0.203,0.0258,0.195,0.602,0.203,0.0258
ID000109,2020-06-01,truth emergency leave people increased risk domestic abuse government provide pr,0.518,0.256,0.226,-0.6908,0.518,0.256,0.226,-0.6908,0.518,0.256,0.226,-0.6908,0.518,0.256,0.226,-0.6908
ID000110,2020-06-01,community transmission coronavirus infection wellestablished large sections subpopulations country,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000111,2020-06-01,hydroxychloroquine cautionary tale drdavidliew dr 1darren1dmr amp prof catherinelhill write,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000112,2020-06-01,creating fame cost lives students conducting final year exams inspite exponentially rising,0.0,0.662,0.338,0.6249,0.0,0.662,0.338,0.6249,0.0,0.662,0.338,0.6249,0.0,0.662,0.338,0.6249
ID000113,2020-06-01,scotlands dementia awareness week june lifechangestrst focusing fabulous work,0.0,0.702,0.298,0.5267,0.0,0.702,0.298,0.5267,0.0,0.702,0.298,0.5267,0.0,0.702,0.298,0.5267
ID000114,2020-06-01,slas announces hardship fund pg ecr members deadline applications 19 june informati,0.173,0.827,0.0,-0.3182,0.173,0.827,0.0,-0.3182,0.173,0.827,0.0,-0.3182,0.173,0.827,0.0,-0.3182
ID000115,2020-06-01,fg special fund cushion festus keyamo minister labour,0.0,0.722,0.278,0.4019,0.0,0.722,0.278,0.4019,0.0,0.722,0.278,0.4019,0.0,0.722,0.278,0.4019
ID000116,2020-06-01,kudos mumbaipyc general secretary mla zeeshaniyc donated 1000 certified ppe kits modular hospital mumbai,0.0,0.798,0.202,0.5106,0.0,0.798,0.202,0.5106,0.0,0.798,0.202,0.5106,0.0,0.798,0.202,0.5106
ID000117,2020-06-01,rise pension age cards cost,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
