id,created_at,original_text
ID000305,2020-04-19,adequate protection estimates 300000 africans lose lives
ID000306,2020-04-19,good news current strange situation 7 yo
ID000307,2020-04-19,19 control law order control administration control
ID000308,2020-04-19,sweden employed approach health care united
ID000309,2020-04-19,rate deaths elderly increasing kano days weeks alarming couldn
ID000310,2020-04-19,police raids syracuse mosque continues holding daily prayers lockdown christians threatened fin
ID000311,2020-04-19,starts ravaging northern nigeria hide true figures elections wont win
ID000312,2020-04-19,fbi cybercrime reports increased 2 3 times coin telegraph
ID000313,2020-04-19,big red shop times pandemic
ID000314,2020-04-19,attackers distribute beware domains
ID000315,2020-04-19,
ID000316,2020-04-19,bipartisan national association secretaries includes election officials 40
ID000317,2020-04-19,news alert dr vladimir zelenko boardcertified family practitioner ny treated 699
ID000318,2020-04-19,expecting kind news
ID000319,2020-04-19,conditions chronic fatigue syndrome linked viral infections virus
ID000320,2020-04-19,alex jones arrived close america rally 300 protestors wearing face masks swarmed
ID000321,2020-04-19,reporter asked trump cdc tests unreliable lack oversight obama admin assume fro
ID000322,2020-04-19,realtime tracking rt effective reproduction number worldwide country based kevin systroms jupyter note
ID000323,2020-04-19,chinese governments deliberate coverup responsible destructive deadly glo
ID000324,2020-04-19,tune watch symonedsanders actor tonygoldwyn host town hall impacted workers entertai
ID000325,2020-04-19,stronger statements foreign ministry chinas exploitation press priorities
ID000326,2020-04-19,realdonaldtrump foxnews invoking divine feminineplease rescue surrender
ID000327,2020-04-19,clusters 596 cases brings countrys total 6588
ID000328,2020-04-19,breaking rnc chairwoman amp betsy devos hired professional organizers protesters protest stayathome orders va
ID000329,2020-04-19,sniff test identify
ID000330,2020-04-19,grandma recovered 19
ID000331,2020-04-19,extends gratitude provinces china gorgeous light
ID000332,2020-04-19,
ID000333,2020-04-19,happy 420 fuck
ID000334,2020-04-19,60 nursing homes cases
ID000335,2020-04-19,prime minister prayut chanocha decide month ease economic restrictions ligh
ID000336,2020-04-19,doubt compensate damages smell war countri
ID000337,2020-04-19,nicksporcich fuked response america amp stupid
ID000338,2020-04-19,realdonaldtrump senatortimscott invoking divine feminineplease rescue surrender
ID000339,2020-04-19,emergency food response jidesanwoolu lagosagric1 abiolusanya unclejyde
ID000340,2020-04-22,national treasurys response pandemic cuts sectorshealth water ksh 18b di
ID000341,2020-04-22,educendowfoundn produced set resources designed schools parentscarers support lea
ID000342,2020-04-22,jadande casino open lawsuit cluster traced
ID000343,2020-04-22,diabetic man dies lack food medicine delhi quarantine centre mohamed musthafa resident coimbatore
ID000344,2020-04-22,sharing katie sweet family mom2nemo relief coelh
ID000345,2020-04-22,great meeting realdonaldtrump today whitehouse discuss ongoing response grateful
ID000346,2020-04-22,clear testing late april trump tests admitted
ID000347,2020-04-22,13news pointed items listed ppe kits medical staff fighting va offered
ID000348,2020-04-22,uofl developed technology believed block coronavirus infecting human cells uofl researchers hope fas
ID000349,2020-04-22,rocket science simply math week lost americans 6 weeks
ID000350,2020-04-22,dhanyawad pmoindia narendramodi creating personal bodyguard indian fight
ID000351,2020-04-22,pay billionaire work lines pocket tesla ceo elonmu
ID000352,2020-04-22,epidemic sweden lock bonus swedish population
ID000353,2020-04-22,thread articles posted uncoverdc 1 curve flat written ajkaywriter htt
ID000354,2020-04-22,doubt deny severity intensity reality eyes
ID000355,2020-04-22,ekiti records death mother thecable
ID000356,2020-04-22,secupp interview books fear citizens happen las vegas stay
ID000357,2020-04-22,continue deliver services pandemic actively seeking opportunities charityhouruk fund
ID000358,2020-04-22,todays daily adamliptak explains major supreme court decision jury verdicts offers clues justices
ID000359,2020-04-22,yosemite national park closed visitors bears thriving
ID000360,2020-04-22,stewart vancouver residents orders helping flatten curve outb
ID000361,2020-04-22,controls british government response great article vanessabeeley ukc
ID000362,2020-04-22,kojoagyyeman reports process noguchi memorial institute tests
ID000363,2020-04-22,75 public companies loans meant small businesses admit federal response screw
ID000364,2020-04-22,houstons kprc expos reality report houston metro area
ID000365,2020-04-22,causing outbreak pseudoscience thought spend time talking science
ID000366,2020-04-22,spokeswoman va decided sell small excess equipment procured ebola treatme
ID000367,2020-04-22,solo govt exit plan wind public health restrictions consultation agreeme
ID000368,2020-04-22,warning greek authorities announced 150 people tested positive lockeddown migrant hotel cou
ID000369,2020-04-22,severely punish challenging measures
ID000370,2020-04-22,released model academic partners showing claim lives 100000 mor
ID000371,2020-04-22,constant peddling disinformation chief executive fox news social media wil
ID000372,2020-04-22,phonein radio interview hughhewitt asked durham investigation origins fbi 2016 ru
ID000373,2020-04-22,doctors increasingly convinced attacks lungs kidneys heart intest
ID000374,2020-04-22,gates writes prime minister narendra modi commend leadership proactive measures gov
ID000375,2020-04-22,ericmetaxas vdhanson flu mortality thought mulitples
ID000376,2020-04-22,forget fendi pastor tony rapu dr ezekiel alphonsus facebook
ID000377,2020-04-22,coronavirus australia calls international scrutiny animal wet markets
ID000378,2020-04-22,fed 24 needle felt kits perfect solution
ID000379,2020-04-22,survivor protesters cnn
ID000380,2020-04-22,resources physiotherapy stjamesdublin developed support patients advice managing sho
ID000381,2020-04-22,realdonaldtrump navy combat drugs president war
ID000382,2020-04-22,loved chance positive innovation coming companies executives grapple
ID000383,2020-04-22,listen peanut gallery episode 15 ben mahar politics 2020 race peanut gallery podcast
ID000384,2020-04-22,insane number car thefts 50 percent nyc shutdown
ID000385,2020-04-22,coronavirus authorities manaus brazil begun digging mass graves bury increasing number coronavirus vic
ID000386,2020-04-22,lord fulfill prophecies biblical locusts wanted understand
ID000387,2020-04-22,ny gov cuomo york city mayor blasio acknowledged racial disparity people died
ID000388,2020-04-22,6150 hospitals hospitals 84300 patients averages 14 hos
ID000389,2020-04-22,lyramydog brobergmaine magsmom7 funds question allocated byu ldsaffiliated amp
ID000390,2020-04-22,pci asks govt media houses journalists contracted
ID000391,2020-04-22,vanguardngrnews hmm 19 situation
ID000392,2020-04-22,countries spreading areas hit crises conflict drought amp floods usaids
ID000393,2020-04-22,sucks lasts longer lockdown
ID000394,2020-04-22,kills attack america realdonaldtrump scottpresler realjameswoods tuckercarlson
ID000395,2020-04-22,sjbarracuda 19 fancy player creation
ID000396,2020-04-22,honble pm narendramodi leads combating ensuring safety amp security indian people han
ID000397,2020-04-22,browncofffee goatonshrooms gopal70742070 kolkatapolice wordsofsarthak supriyobabul rna kit shortage
ID000398,2020-04-22,medical professional stfu people outofcontext facebook stati
ID000399,2020-04-22,sticky blood sean hannitys hands
ID000400,2020-04-22,created lab hiv medicine nobel confirms indian disclosed vt va veteranstoday
ID000401,2020-04-22,single happen pandemic feel collectivity
ID000402,2020-04-22,
ID000403,2020-04-22,
ID000404,2020-04-22,discussed pandemic irelands pm leovaradkar india ireland share approaches globa
ID000405,2020-04-22,tgradous carriesheffield issue vote absentee good excuse vote election day
ID000406,2020-04-22,stay manitoba couple warns recovering illness
ID000407,2020-04-22,northern canadian arctic territory isolated ajenews
ID000408,2020-04-22,
ID000409,2020-04-22,gavreilly joedotie wrong wikipedia theyve listed 19 corona virus
